14:00|下午兩點鐘|我上了車，弓兵跨了車簷，下午兩點鐘光景就到了。|二十年目睹之怪现状|吴趼人|sfw
14:00|下午兩點鐘|我上了車，弓兵跨了車簷，行了半天，在路上打了個尖，下午兩點鐘光景就到了|二十年目睹之怪现状|吴趼人|sfw
14:00|午後兩點鐘|從午後兩點鐘入座，一直吃到上燈還沒有完|官场现形记|李伯元|sfw
14:00|午後兩點鐘|正待上轎，已有人前來報稱：“眾紳士因為此事，說洋務局不該不把外國凶手交給縣裏審問，如今倒反拿他留在局中，十分優待，因此眾人心上不服，一齊發了傳單，約定明日午後兩點鐘在某處會議此事|官场现形记|李伯元|sfw
15:00|下午三點多鐘|我早起七點鐘出來，此刻已經下午三點多鐘了|二十年目睹之怪现状|吴趼人|sfw
15:00|下午三點鐘|誰知到了下午三點鐘時候，說是坐晚堂了，兩個差人來，拖了就走。|二十年目睹之怪现状|吴趼人|sfw
15:00|下午三點鐘|誰知到了下午三點鐘時候，說是坐晚堂了，兩個差人來，拖了就走，到得堂上，不由分說的，劈劈拍拍打了一百板，打得鮮血淋漓|二十年目睹之怪现状|吴趼人|sfw
15:00|下午三點鐘|我鬧了一夜，實在辛苦了，放下頭一直睡到下午三點鐘才醒|冷眼观|王濬卿|sfw
15:00|下午三點鐘|一等等到下午三點鐘，才見首府大人回來，急忙趕出去站班|官场现形记|李伯元|sfw
16:00|下午四點鐘|到了下午四點鐘時，他老子叫了一乘囚籠似的小轎子，叫女兒坐了|二十年目睹之怪现状|吴趼人|sfw
16:00|下午四點鐘|到了下午四點鐘時，他老子叫了一乘囚籠似的小轎子，叫女兒坐了。|二十年目睹之怪现状|吴趼人|sfw
16:00|下午四點鐘|八姨是同十二姨、十五姨、十七姨同住的，說明白這天下午四點鐘先會齊了打麻雀，打過八圈莊吃飯|官场现形记|李伯元|sfw
16:00|下午四點鐘|自從頭天晚上鬧起，一直鬧到第二天下午四點鐘，看看一周時不差衹有三個時辰，過了這三個時辰，便不能救，衹好靜等下棺材了|官场现形记|李伯元|sfw
17:00|下午五點鐘|伯芬到了次日下午五點鐘時，便到聚豐園去等候|二十年目睹之怪现状|吴趼人|sfw
17:00|下午五點鐘|伯芬到了次日下午五點鐘時，便到聚豐園去等候。|二十年目睹之怪现状|吴趼人|sfw
17:00|下午五點鐘|自下午五點鐘搬起，十七八班挑夫，搬到七點鐘也沒搬盡|邻女语|忧患余生|sfw
19:00|早起七點鐘|我早起七點鐘出來，此刻已經下午三點多鐘了|二十年目睹之怪现状|吴趼人|sfw
19:00|七點鐘|吃到七點鐘時，茶房開上飯來，德泉叫添了菜。|二十年目睹之怪现状|吴趼人|sfw
20:00|晚上八點來鐘|到得晚上八點來鐘，他忽然走下來，找他的老婆和女兒|二十年目睹之怪现状|吴趼人|sfw
20:00|晚上八點來鐘|到得晚上八點來鐘，他忽然走下來，找他的老婆和女兒。|二十年目睹之怪现状|吴趼人|sfw
20:00|晚上八點多鐘|沿途問人，還走錯了不少路，竟到晚上八點多鐘，才回到客棧|二十年目睹之怪现状|吴趼人|sfw
20:00|晚上八點鐘|偏偏第二天到鎮江，已經晚上八點鐘，看著不能過江，我也懶得到街上去了，就在躉船上住了一夜|二十年目睹之怪现状|吴趼人|sfw
20:00|八點鐘|等到事完出衙門，八點鐘在自己相好貴寶那裡吃晚飯，可以面談一切|官场现形记|李伯元|sfw
